id,name,type
wd,Wolfgang Dietrich,1
wp,Wilfried Porth,1
bg,Dr. Bernd Gaiser,1
hj,Hartmut Jenner,1
ho,Hermann Ohlicher,1
fr,Franz Reiner,1
bs,Dr. Bertram Sugg,1
su,Stuttgart-Ulm e.V.,0
ca,Concept AG,0
mbv,Mercedes-Benz Vans,0
vfbp,Vfb Praesidium,0
vfba,VfB Aufsichtsrat,0
vfbe,VfB Ehrenrat,0
ks,Alfred Kaercher SE&Co.KG,0
kf,Alfred Kaercher Förderstiftung,0
tl,Toto-Lotto-Gesellschaft,0
rb,Robert Bosch GmbH,0
mbb,Mercedes-Benz Bank,0
jk,Jako,0
kr,Krombacher,0
mb,Mercedes-Benz,0
ub,Union Berlin,0
hp,Horvath & Partners,0
rh,Recaro Holding GmbH,0
